dataset,features,n_features,split,MAE,RMSE
ETTh1,1_ot_only,23,valid,1.446,1.888
ETTh1,1_ot_only,23,test,1.523,1.904
ETTh1,2_+calendar,28,valid,1.271,1.757
ETTh1,2_+calendar,28,test,1.123,1.506
ETTh1,3_+load_origin (B),46,valid,1.236,1.713
ETTh1,3_+load_origin (B),46,test,1.108,1.489
ETTh1,4_+load_target (A),52,valid,1.225,1.687
ETTh1,4_+load_target (A),52,test,1.084,1.449
ETTh2,1_ot_only,23,valid,2.254,3.115
ETTh2,1_ot_only,23,test,2.676,3.702
ETTh2,2_+calendar,28,valid,1.737,2.53
ETTh2,2_+calendar,28,test,1.827,2.578
ETTh2,3_+load_origin (B),46,valid,1.782,2.548
ETTh2,3_+load_origin (B),46,test,1.951,2.728
ETTh2,4_+load_target (A),52,valid,1.742,2.463
ETTh2,4_+load_target (A),52,test,1.968,2.734
