dataset,horizon_h,model,split,MAE,RMSE,n,q95_events,q95_recall,q95_onset_events,q95_onset_recall,q95_notices/day,q95_false_notices/day,q90_events,q90_recall,q90_onset_events,q90_onset_recall,q90_notices/day,q90_false_notices/day
ETTh1,1,B0_persistence,valid,0.596,0.905,2951,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,1,B0_persistence,test,0.435,0.629,5707,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,1,B1_seasonal24h,valid,1.956,2.671,2951,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,1,B1_seasonal24h,test,1.639,2.144,5707,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,1,B2_ridge(B),valid,0.642,0.939,2951,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,1,B2_ridge(B),test,0.455,0.637,5707,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,6,B0_persistence,valid,1.589,2.063,2946,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,6,B0_persistence,test,1.151,1.542,5702,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,6,B1_seasonal24h,valid,1.956,2.671,2946,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,6,B1_seasonal24h,test,1.639,2.144,5702,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,6,B2_ridge(B),valid,1.667,2.25,2946,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,6,B2_ridge(B),test,1.155,1.521,5702,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,24,B0_persistence,valid,1.955,2.67,2928,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,24,B0_persistence,test,1.632,2.136,5684,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,24,B1_seasonal24h,valid,1.955,2.67,2928,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,24,B1_seasonal24h,test,1.632,2.136,5684,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh1,24,B2_ridge(B),valid,3.199,4.095,2928,0,,0,,0.0,0.0,0,,0,,0.03,0.03
ETTh1,24,B2_ridge(B),test,1.933,2.436,5684,0,,0,,0.0,0.0,0,,0,,0.0,0.0
ETTh2,1,B0_persistence,valid,0.864,1.193,2951,38,0.88,38,0.0,0.0,0.0,49,0.914,49,0.0,0.0,0.0
ETTh2,1,B0_persistence,test,0.905,1.271,5707,13,0.8,13,0.0,0.0,0.0,25,0.83,25,0.0,0.0,0.0
ETTh2,1,B1_seasonal24h,valid,3.082,4.319,2951,38,0.782,38,0.447,0.25,0.11,49,0.777,49,0.408,0.33,0.17
ETTh2,1,B1_seasonal24h,test,3.206,4.345,5707,13,0.462,13,0.231,0.03,0.02,25,0.565,25,0.24,0.07,0.05
ETTh2,1,B2_ridge(B),valid,0.507,0.746,2951,38,0.943,38,0.632,0.21,0.02,49,0.946,49,0.673,0.28,0.02
ETTh2,1,B2_ridge(B),test,0.504,0.692,5707,13,0.831,13,0.462,0.03,0.0,25,0.891,25,0.52,0.06,0.0
ETTh2,6,B0_persistence,valid,4.059,5.292,2946,38,0.38,38,0.0,0.0,0.0,49,0.58,49,0.0,0.0,0.0
ETTh2,6,B0_persistence,test,4.435,5.87,5702,13,0.108,13,0.0,0.0,0.0,25,0.259,25,0.0,0.0,0.0
ETTh2,6,B1_seasonal24h,valid,3.077,4.315,2946,38,0.782,38,0.763,0.31,0.07,49,0.777,49,0.714,0.41,0.12
ETTh2,6,B1_seasonal24h,test,3.208,4.346,5702,13,0.462,13,0.462,0.05,0.02,25,0.565,25,0.64,0.1,0.03
ETTh2,6,B2_ridge(B),valid,2.151,2.875,2946,38,0.661,38,0.816,0.28,0.02,49,0.75,49,0.816,0.39,0.07
ETTh2,6,B2_ridge(B),test,2.367,3.145,5702,13,0.169,13,0.385,0.03,0.0,25,0.456,25,0.6,0.07,0.0
ETTh2,24,B0_persistence,valid,3.076,4.318,2928,38,0.782,26,0.0,0.0,0.0,49,0.777,36,0.0,0.0,0.0
ETTh2,24,B0_persistence,test,3.187,4.303,5684,13,0.462,10,0.0,0.0,0.0,25,0.565,20,0.0,0.0,0.0
ETTh2,24,B1_seasonal24h,valid,3.076,4.318,2928,38,0.782,26,0.0,0.0,0.0,49,0.777,36,0.0,0.0,0.0
ETTh2,24,B1_seasonal24h,test,3.187,4.303,5684,13,0.462,10,0.0,0.0,0.0,25,0.565,20,0.0,0.0,0.0
ETTh2,24,B2_ridge(B),valid,3.199,3.973,2928,38,0.408,26,0.038,0.01,0.0,49,0.533,36,0.083,0.04,0.02
ETTh2,24,B2_ridge(B),test,3.262,4.138,5684,13,0.031,10,0.0,0.0,0.0,25,0.19,20,0.0,0.0,0.0
