dataset,horizon_h,model,split,MAE,RMSE,n,q95_events,q95_recall,q95_onset_events,q95_onset_recall,q95_notices/day,q95_false_notices/day,q95_lead_h,q90_events,q90_recall,q90_onset_events,q90_onset_recall,q90_notices/day,q90_false_notices/day,q90_lead_h,residual,best_iter
ETTh1,1,M1_lgbm(B),valid,0.558,0.868,2952,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,64
ETTh1,1,M1_lgbm(B),test,0.424,0.615,5708,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,64
ETTh1,1,M1_lgbm(A),valid,0.557,0.866,2952,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,68
ETTh1,1,M1_lgbm(A),test,0.425,0.616,5708,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,68
ETTh1,6,M1_lgbm(B),valid,1.235,1.712,2952,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,72
ETTh1,6,M1_lgbm(B),test,1.109,1.49,5708,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,72
ETTh1,6,M1_lgbm(A),valid,1.224,1.686,2952,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,77
ETTh1,6,M1_lgbm(A),test,1.085,1.45,5708,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,77
ETTh1,24,M1_lgbm(B),valid,1.918,2.604,2952,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,27
ETTh1,24,M1_lgbm(B),test,1.799,2.401,5708,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,27
ETTh1,24,M1_lgbm(A),valid,1.89,2.548,2952,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,41
ETTh1,24,M1_lgbm(A),test,1.921,2.517,5708,0,,0,,0.0,0.0,,0,,0,,0.0,0.0,,True,41
ETTh2,1,M1_lgbm(B),valid,0.401,0.65,2952,38,0.968,38,0.816,0.25,0.0,1.0,49,0.96,49,0.816,0.37,0.05,1.0,True,298
ETTh2,1,M1_lgbm(B),test,0.373,0.559,5708,13,0.877,13,0.538,0.03,0.0,1.0,25,0.946,25,0.88,0.11,0.01,1.0,True,298
ETTh2,1,M1_lgbm(A),valid,0.402,0.649,2952,38,0.972,38,0.816,0.25,0.0,1.0,49,0.958,49,0.816,0.37,0.05,1.0,True,182
ETTh2,1,M1_lgbm(A),test,0.376,0.562,5708,13,0.877,13,0.538,0.03,0.0,1.0,25,0.939,25,0.8,0.1,0.01,1.0,True,182
ETTh2,6,M1_lgbm(B),valid,1.781,2.546,2952,38,0.832,38,0.868,0.33,0.05,5.4,49,0.886,49,0.857,0.41,0.07,5.3,True,263
ETTh2,6,M1_lgbm(B),test,1.95,2.727,5708,13,0.415,13,0.769,0.05,0.01,4.0,25,0.619,25,0.76,0.1,0.02,4.6,True,263
ETTh2,6,M1_lgbm(A),valid,1.741,2.462,2952,38,0.813,38,0.895,0.32,0.04,5.2,49,0.879,49,0.857,0.45,0.1,5.3,True,230
ETTh2,6,M1_lgbm(A),test,1.968,2.733,5708,13,0.446,13,0.769,0.05,0.01,4.1,25,0.612,25,0.72,0.09,0.02,4.6,True,230
ETTh2,24,M1_lgbm(B),valid,3.072,4.33,2952,38,0.801,26,0.231,0.11,0.06,17.3,49,0.784,36,0.083,0.1,0.07,20.0,True,1
ETTh2,24,M1_lgbm(B),test,3.19,4.34,5708,13,0.477,10,0.1,0.01,0.01,21.0,25,0.585,20,0.15,0.03,0.02,17.3,True,1
ETTh2,24,M1_lgbm(A),valid,3.05,4.269,2952,38,0.785,26,0.115,0.05,0.02,19.7,49,0.768,36,0.111,0.08,0.05,20.8,True,16
ETTh2,24,M1_lgbm(A),test,3.185,4.322,5708,13,0.415,10,0.0,0.0,0.0,,25,0.558,20,0.1,0.03,0.03,21.0,True,16
