dataset,horizon_h,model,target_month,MAE
ETTh1,6,B0_persistence,2017-11,1.186
ETTh1,6,B0_persistence,2017-12,1.006
ETTh1,6,B0_persistence,2018-01,0.937
ETTh1,6,B0_persistence,2018-02,1.058
ETTh1,6,B0_persistence,2018-03,1.287
ETTh1,6,B0_persistence,2018-04,1.296
ETTh1,6,B0_persistence,2018-05,1.267
ETTh1,6,B0_persistence,2018-06,1.17
ETTh1,6,B2_ridge(B),2017-11,1.004
ETTh1,6,B2_ridge(B),2017-12,0.958
ETTh1,6,B2_ridge(B),2018-01,1.213
ETTh1,6,B2_ridge(B),2018-02,1.18
ETTh1,6,B2_ridge(B),2018-03,1.126
ETTh1,6,B2_ridge(B),2018-04,1.093
ETTh1,6,B2_ridge(B),2018-05,1.356
ETTh1,6,B2_ridge(B),2018-06,1.33
ETTh1,6,M1_lgbm(B),2017-11,1.018
ETTh1,6,M1_lgbm(B),2017-12,1.054
ETTh1,6,M1_lgbm(B),2018-01,1.263
ETTh1,6,M1_lgbm(B),2018-02,1.142
ETTh1,6,M1_lgbm(B),2018-03,1.07
ETTh1,6,M1_lgbm(B),2018-04,1.042
ETTh1,6,M1_lgbm(B),2018-05,1.226
ETTh1,6,M1_lgbm(B),2018-06,1.038
ETTh2,6,B0_persistence,2017-11,4.29
ETTh2,6,B0_persistence,2017-12,4.518
ETTh2,6,B0_persistence,2018-01,2.949
ETTh2,6,B0_persistence,2018-02,4.443
ETTh2,6,B0_persistence,2018-03,5.007
ETTh2,6,B0_persistence,2018-04,5.393
ETTh2,6,B0_persistence,2018-05,4.006
ETTh2,6,B0_persistence,2018-06,4.997
ETTh2,6,B2_ridge(B),2017-11,2.205
ETTh2,6,B2_ridge(B),2017-12,2.047
ETTh2,6,B2_ridge(B),2018-01,2.196
ETTh2,6,B2_ridge(B),2018-02,2.282
ETTh2,6,B2_ridge(B),2018-03,2.704
ETTh2,6,B2_ridge(B),2018-04,2.854
ETTh2,6,B2_ridge(B),2018-05,2.431
ETTh2,6,B2_ridge(B),2018-06,2.187
ETTh2,6,M1_lgbm(B),2017-11,1.71
ETTh2,6,M1_lgbm(B),2017-12,1.74
ETTh2,6,M1_lgbm(B),2018-01,2.127
ETTh2,6,M1_lgbm(B),2018-02,1.914
ETTh2,6,M1_lgbm(B),2018-03,2.143
ETTh2,6,M1_lgbm(B),2018-04,2.047
ETTh2,6,M1_lgbm(B),2018-05,2.092
ETTh2,6,M1_lgbm(B),2018-06,1.798
